index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
148,Francisco Miguel Varela Martín,6,2,1,0,2,0,0.45565073,33.33333333333333,0.0,0.0,0.07594178833333333,Real Betis,5,Spain - La Liga
149,Francisco Montañés Claverías,3,2,1,0,0,0,0.195147305,66.66666666666666,0.0,0.0,0.06504910166666666,Espanyol,3,Spain - La Liga
150,Francisco Portillo Soler,5,0,3,0,1,0,0.298257697,0.0,0.0,0.0,0.059651539399999995,Real Betis,5,Spain - La Liga
151,Francisco Román Alarcón Suárez,42,11,17,0,13,3,3.5873396570000002,26.190476190476193,7.142857142857142,27.27272727272727,0.08541284897619048,Real Madrid,22,Spain - La Liga
152,Fábio Ricardo Gomes Fonseca,2,1,1,0,0,0,0.046949167,50.0,0.0,0.0,0.0234745835,Málaga,1,Spain - La Liga
153,Gabriel Fernández Arenas,17,3,9,0,4,1,0.48763952039999997,17.647058823529413,5.88235294117647,33.33333333333333,0.028684677670588233,Atlético Madrid,12,Spain - La Liga
154,Gareth Frank Bale,81,37,30,2,11,19,8.988327618,45.67901234567901,23.456790123456788,51.35135135135135,0.11096700762962962,Real Madrid,21,Spain - La Liga
155,Gerard Moreno Balaguero,54,21,15,1,12,7,7.3562750655,38.88888888888889,12.962962962962962,33.33333333333333,0.1362273160277778,Espanyol,26,Spain - La Liga
156,Gerard Piqué Bernabéu,14,7,3,0,3,2,2.367547179,50.0,14.285714285714285,28.57142857142857,0.16911051278571426,Barcelona,9,Spain - La Liga
157,Germán Alejandro Pezzella,17,8,7,0,0,3,1.6383144185,47.05882352941176,17.647058823529413,37.5,0.09637143638235295,Real Betis,12,Spain - La Liga
158,Giuseppe Rossi,33,17,6,1,9,6,4.5929836495,51.515151515151516,18.181818181818183,35.294117647058826,0.13918132271212122,Levante UD,14,Spain - La Liga
159,Gonzalo Castro Irizábal,20,7,6,0,4,1,0.988834267,35.0,5.0,14.285714285714285,0.04944171335,Málaga,11,Spain - La Liga
160,Gonzalo Escalante,24,5,10,2,4,3,2.632921528,20.833333333333336,12.5,60.0,0.10970506366666666,Eibar,18,Spain - La Liga
161,Gorka Elustondo Urkola,3,2,0,0,1,1,0.177619644,66.66666666666666,33.33333333333333,50.0,0.059206548,Athletic Club,3,Spain - La Liga
162,Grzegorz Krychowiak,22,2,13,0,5,0,1.863540542,9.090909090909092,0.0,0.0,0.08470638827272726,Sevilla,14,Spain - La Liga
163,Guilherme Magdalena Siqueira,5,0,4,0,1,0,0.2421237977,0.0,0.0,0.0,0.04842475954,Valencia,4,Spain - La Liga
164,Gustavo Daniel Cabral Cáceres,6,2,2,0,0,0,0.33655172000000005,33.33333333333333,0.0,0.0,0.05609195333333334,Celta Vigo,5,Spain - La Liga
165,Heiko Westermann,15,3,7,0,4,1,1.432165966,20.0,6.666666666666667,33.33333333333333,0.09547773106666665,Real Betis,10,Spain - La Liga
166,Henok Goitom,4,0,3,0,0,0,0.357834091,0.0,0.0,0.0,0.08945852275,Getafe,1,Spain - La Liga
167,Hernán Arsenio Pérez González,47,18,13,1,13,7,4.73360931,38.297872340425535,14.893617021276595,38.88888888888889,0.10071509170212767,Espanyol,24,Spain - La Liga
168,Hernán Daniel Santana Trujillo,9,4,2,0,3,1,0.342487177,44.44444444444444,11.11111111111111,25.0,0.03805413077777778,Las Palmas,7,Spain - La Liga
169,Hugo Mallo Novegil,9,4,3,1,1,1,0.465574104,44.44444444444444,11.11111111111111,25.0,0.051730456,Celta Vigo,7,Spain - La Liga
170,Hugo Miguel Almeida Costa Lopes,11,4,3,0,4,0,0.2452282895,36.36363636363637,0.0,0.0,0.022293480863636365,Granada,10,Spain - La Liga
171,Héctor Hernández Ortega,4,0,2,0,2,0,0.216661252,0.0,0.0,0.0,0.054165313,Real Sociedad,4,Spain - La Liga
172,Iago Aspas Juncal,82,34,26,5,13,14,13.1399144903,41.46341463414634,17.073170731707318,41.17647058823529,0.16024285963780488,Celta Vigo,31,Spain - La Liga
173,Ian González Nieto,1,0,0,0,0,0,0.26258382,0.0,0.0,0.0,0.26258382,Getafe,1,Spain - La Liga
174,Ibai Gómez Pérez,2,0,2,0,0,0,0.11435432,0.0,0.0,0.0,0.05717716,Athletic Club,2,Spain - La Liga
175,Ignacio Camacho Barnola,24,9,10,0,3,2,1.912619877,37.5,8.333333333333332,22.22222222222222,0.079692494875,Málaga,15,Spain - La Liga
176,Ignacio Cases Mora,22,4,8,0,6,1,1.091935953,18.181818181818183,4.545454545454546,25.0,0.0496334524090909,Sporting Gijón,13,Spain - La Liga
