index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
126,Halil Altıntop,14,3,7,1,3,1,1.697280667,21.428571428571427,7.142857142857142,33.33333333333333,0.12123433335714286,Augsburg,10,Germany - 1. Bundesliga
127,Haris Seferović,58,20,17,1,12,3,6.8247849027,34.48275862068966,5.172413793103448,15.0,0.11766870521896552,Eintracht Frankfurt,20,Germany - 1. Bundesliga
128,Henrikh Mkhitaryan,78,27,27,0,22,11,10.3414526307,34.61538461538461,14.102564102564102,40.74074074074074,0.13258272603461538,Borussia Dortmund,26,Germany - 1. Bundesliga
129,Heung-Min Son,2,0,2,0,0,0,0.41902083,0.0,0.0,0.0,0.209510415,Bayer Leverkusen,1,Germany - 1. Bundesliga
130,Hiroki Sakai,11,3,4,0,2,1,0.690687768,27.27272727272727,9.090909090909092,33.33333333333333,0.0627897970909091,Hannover 96,8,Germany - 1. Bundesliga
131,Hiroshi Kiyotake,28,8,12,0,8,5,3.043975954,28.57142857142857,17.857142857142858,62.5,0.10871342692857143,Hannover 96,17,Germany - 1. Bundesliga
132,Holger Badstuber,2,1,0,0,0,0,0.179021491,50.0,0.0,0.0,0.0895107455,Bayern Munich,2,Germany - 1. Bundesliga
133,Hotaru Yamaguchi,3,1,2,0,0,0,0.0895231236,33.33333333333333,0.0,0.0,0.0298410412,Hannover 96,2,Germany - 1. Bundesliga
134,Hugo Miguel Pereira de Almeida,14,3,6,0,4,1,0.9104121329999999,21.428571428571427,7.142857142857142,33.33333333333333,0.06502943807142857,Hannover 96,6,Germany - 1. Bundesliga
135,Håvard Nordtveit,22,8,6,0,5,4,0.8659613438,36.36363636363637,18.181818181818183,50.0,0.039361879263636365,Borussia Mönchengladbach,18,Germany - 1. Bundesliga
136,Ibrahima Traoré,41,15,11,1,14,3,3.0379410776,36.58536585365854,7.317073170731707,20.0,0.07409612384390245,Borussia Mönchengladbach,17,Germany - 1. Bundesliga
137,Ivan Perišić,3,1,1,0,1,1,0.21428855800000002,33.33333333333333,33.33333333333333,100.0,0.07142951933333334,Wolfsburg,2,Germany - 1. Bundesliga
138,Iver Tobias Rørvik Fossum,13,4,5,0,3,0,0.833202707,30.76923076923077,0.0,0.0,0.06409251592307692,Hannover 96,8,Germany - 1. Bundesliga
139,Ivica Olić,5,1,1,0,3,0,0.322016158,20.0,0.0,0.0,0.0644032316,Hamburger SV,4,Germany - 1. Bundesliga
140,Ivo Iličević,43,15,20,0,6,4,4.370990323,34.883720930232556,9.30232558139535,26.666666666666668,0.10165093774418604,Hamburger SV,21,Germany - 1. Bundesliga
141,Ja-Cheol Koo,40,16,8,0,15,8,3.480109356,40.0,20.0,50.0,0.08700273389999999,Augsburg,18,Germany - 1. Bundesliga
142,Jairo Samperio Bustara,39,16,11,0,9,7,4.1465840202,41.02564102564102,17.94871794871795,43.75,0.10632266718461537,FSV Mainz 05,22,Germany - 1. Bundesliga
143,Jan Kliment,3,3,0,0,0,1,0.092191355,100.0,33.33333333333333,33.33333333333333,0.03073045166666667,VfB Stuttgart,2,Germany - 1. Bundesliga
144,Jan Morávek,6,1,3,0,2,1,0.616090481,16.666666666666664,16.666666666666664,100.0,0.10268174683333332,Augsburg,4,Germany - 1. Bundesliga
145,Jan Rosenthal,17,4,8,2,0,0,1.537600907,23.52941176470588,0.0,0.0,0.0904471121764706,Darmstadt 98,11,Germany - 1. Bundesliga
146,Jan-Ingwer Callsen-Bracker,5,1,0,0,4,1,0.24129798449999998,20.0,20.0,100.0,0.04825959689999999,Augsburg,4,Germany - 1. Bundesliga
147,Janek Sternberg,2,0,1,0,1,0,0.093130827,0.0,0.0,0.0,0.0465654135,Werder Bremen,2,Germany - 1. Bundesliga
148,Jannik Vestergaard,34,7,18,1,6,2,2.2920639369,20.588235294117645,5.88235294117647,28.57142857142857,0.06741364520294117,Werder Bremen,21,Germany - 1. Bundesliga
149,Javier Hernández Balcázar,64,31,14,2,12,17,11.5035092055,48.4375,26.5625,54.83870967741935,0.1797423313359375,Bayer Leverkusen,28,Germany - 1. Bundesliga
150,Javier Martínez Aginaga,14,2,5,0,2,1,1.98073894,14.285714285714285,7.142857142857142,50.0,0.14148135285714286,Bayern Munich,10,Germany - 1. Bundesliga
151,Jean-Eric Maxim Choupo-Moting,50,16,14,0,13,6,3.8661129545,32.0,12.0,37.5,0.07732225909,Schalke 04,22,Germany - 1. Bundesliga
152,Jeffrey Gouweleeuw,2,2,0,0,0,0,0.76336465,100.0,0.0,0.0,0.381682325,Augsburg,1,Germany - 1. Bundesliga
153,Jens Hegeler,13,3,4,0,4,0,1.25603256,23.076923076923077,0.0,0.0,0.09661788923076922,Hertha Berlin,9,Germany - 1. Bundesliga
154,Jeong-Ho Hong,15,7,5,0,3,2,1.4504809043,46.666666666666664,13.333333333333334,28.57142857142857,0.09669872695333333,Augsburg,14,Germany - 1. Bundesliga
155,Jeremy Toljan,6,4,1,1,0,1,0.733864241,66.66666666666666,16.666666666666664,25.0,0.12231070683333334,Hoffenheim,6,Germany - 1. Bundesliga
156,Jhon Andrés Córdoba Copete,30,16,11,0,3,5,5.237419669,53.333333333333336,16.666666666666664,31.25,0.17458065563333333,FSV Mainz 05,16,Germany - 1. Bundesliga
157,Jiloan Hamad,4,1,1,0,2,1,0.42743509,25.0,25.0,100.0,0.1068587725,Hoffenheim,3,Germany - 1. Bundesliga
158,Jin-Su Kim,7,2,1,0,3,0,0.1582355992,28.57142857142857,0.0,0.0,0.022605085599999998,Hoffenheim,7,Germany - 1. Bundesliga
159,Joel Gerezgiher,4,1,1,0,1,0,0.31128586199999997,25.0,0.0,0.0,0.07782146549999999,Eintracht Frankfurt,2,Germany - 1. Bundesliga
160,Joelinton Cassio Apolinário de Lira,2,0,0,0,2,0,0.09091194799999999,0.0,0.0,0.0,0.045455973999999996,Hoffenheim,1,Germany - 1. Bundesliga
161,Johan Danon Djourou-Gbadjere,8,3,2,1,2,2,1.135745686,37.5,25.0,66.66666666666666,0.14196821075,Hamburger SV,6,Germany - 1. Bundesliga
